구,전용면적_m2,층,건축년도,지하철역_거리_m,방개수,욕실개수,브랜드등급,거래금액_만원
호수구,60.11,14,1999,748,3,1,1,63900
호수구,59.3,19,2023,1703,3,1,1,66300
강변구,85.24,1,2023,1728,3,1,3,139800
신도심구,85.6,26,2008,137,3,1,2,121500
신도심구,59.55,26,2002,504,3,1,2,73300
구도심구,83.39,27,1998,227,3,1,1,66600
강변구,60.25,6,2013,793,3,1,3,114900
강변구,74.56,25,2012,525,3,1,1,126900
호수구,62.12,19,2012,1204,3,1,2,79600
호수구,101.37,5,2017,612,4,2,1,106500
구도심구,114.84,17,2008,1551,4,2,2,93500
호수구,84.35,14,2014,1772,3,1,2,93700
구도심구,48.88,19,2013,1514,2,1,1,43300
구도심구,58.69,3,2018,68,3,1,2,56800
구도심구,59.35,17,2016,742,3,1,1,58000
신도심구,101.63,20,1994,470,4,2,2,127800
신도심구,60.39,21,2012,526,3,1,2,77700
강변구,134.37,23,2024,1074,4,2,3,266300
구도심구,83.44,19,2010,495,3,1,1,80200
강변구,83.61,21,2009,640,3,1,1,133800
강변구,99.41,3,2012,666,4,2,1,133200
신도심구,50.99,24,2010,96,2,1,1,68100
신도심구,100.35,11,2005,440,4,2,2,136700
강변구,60.16,16,2024,1260,3,1,1,96000
구도심구,101.33,16,1995,79,4,2,1,84100
호수구,84.36,29,2019,897,3,1,1,104000
강변구,48.86,10,1998,302,2,1,2,73000
중앙구,100.05,12,1999,462,4,2,2,180200
강변구,47.84,23,2012,1018,2,1,1,75700
구도심구,61.07,19,2013,243,3,1,3,62200
구도심구,101.14,10,2022,493,4,2,1,90000
중앙구,85.35,10,2002,137,3,1,2,154500
구도심구,102.66,25,1993,815,4,2,1,75300
중앙구,83.51,25,2001,332,3,1,2,172300
신도심구,84.51,5,2010,175,3,1,1,116300
호수구,59.05,12,2004,612,3,1,3,73300
강변구,57.61,23,2001,131,3,1,2,80800
강변구,133.78,4,2022,451,4,2,2,234200
신도심구,59.71,6,2010,308,3,1,2,94100
구도심구,83.4,5,2014,711,3,1,1,69400
호수구,58.61,16,2016,722,3,1,1,64300
호수구,58.79,14,2006,354,3,1,3,68100
중앙구,86.53,10,2016,1526,3,1,2,189600
중앙구,98.8,4,2023,1219,4,2,1,184800
구도심구,101.6,19,2016,271,4,2,1,101400
강변구,100.7,24,2002,2398,4,2,1,128900
호수구,58.23,7,2017,986,3,1,2,58400
구도심구,83.67,20,2000,767,3,1,2,69100
중앙구,49.8,24,1995,803,2,1,2,81000
구도심구,84.87,17,2007,211,3,1,1,78500
강변구,74.22,17,2009,1351,3,1,3,133700
신도심구,85.31,5,2008,96,3,1,1,107200
신도심구,60.52,28,2001,800,3,1,1,70600
신도심구,101.98,28,2001,1230,4,2,3,150600
구도심구,100.34,21,2022,291,4,2,2,100800
구도심구,101.59,27,2002,1033,4,2,2,75900
호수구,49.6,18,2018,655,2,1,3,70300
호수구,133.02,20,2001,1078,4,2,1,128900
신도심구,57.12,25,1996,1193,3,1,1,63800
중앙구,71.57,2,1995,1617,3,1,1,111600
구도심구,59.08,7,2000,1391,3,1,1,38700
호수구,59.36,6,2019,112,3,1,2,72900
강변구,82.58,19,2007,277,3,1,2,124700
신도심구,60.26,8,2015,859,3,1,1,81900
신도심구,74.18,12,2023,1204,3,1,2,104500
중앙구,85.62,15,1994,245,3,1,1,131300
구도심구,101.44,22,1996,972,4,2,1,79400
신도심구,82.72,16,2022,1457,3,1,1,113800
구도심구,84.55,1,2011,1173,3,1,2,61500
구도심구,59.8,20,2012,962,3,1,1,48000
구도심구,100.34,13,2003,581,4,2,3,91300
신도심구,47.27,4,2019,560,2,1,3,63200
강변구,59.12,19,2013,2153,3,1,2,89100
구도심구,47.8,8,2001,60,2,1,2,44200
구도심구,85.35,14,2013,410,3,1,2,86100
신도심구,73.51,29,1993,277,3,1,3,87600
호수구,86.07,7,2000,174,3,1,2,91500
중앙구,71.45,26,1999,922,3,1,1,109100
호수구,84.16,14,2018,837,3,1,1,98900
중앙구,85.72,28,2016,621,3,1,2,177300
강변구,47.93,25,1995,836,2,1,1,59300
신도심구,73.81,25,2022,1077,3,1,2,114400
중앙구,83.52,6,2019,521,3,1,3,159100
중앙구,83.18,23,2006,878,3,1,1,137600
중앙구,49.29,11,1999,485,2,1,1,78100
신도심구,82.45,27,2006,898,3,1,1,99200
구도심구,73.87,29,2011,1463,3,1,1,66900
중앙구,49.62,18,2013,1150,2,1,2,102800
구도심구,58.74,27,2004,1804,3,1,1,44500
구도심구,82.8,16,1996,411,3,1,1,64900
강변구,75.24,1,2012,340,3,1,2,116300
중앙구,84.88,26,2015,824,3,1,1,183600
호수구,57.75,16,2001,422,3,1,1,51900
구도심구,99.45,2,2013,925,4,2,1,83200
신도심구,57.86,2,2011,711,3,1,2,69400
구도심구,84.65,21,2009,281,3,1,1,78900
중앙구,101.33,27,1993,850,4,2,1,165500
신도심구,74.95,21,2002,298,3,1,1,99300
구도심구,48.61,13,2004,1532,2,1,2,43200
강변구,82.89,9,2019,529,3,1,2,132800
구도심구,135.1,13,2019,337,4,2,1,141100
신도심구,133.34,10,2020,726,4,2,2,196100
구도심구,59.22,8,2007,784,3,1,2,49500
신도심구,82.14,4,2003,401,3,1,3,123900
신도심구,73.32,17,2008,386,3,1,2,106700
강변구,60.21,7,2018,129,3,1,2,103800
강변구,83.14,5,2012,1110,3,1,1,132400
구도심구,84.98,8,2012,1504,3,1,1,68900
중앙구,81.2,24,2006,1226,3,1,3,150200
중앙구,100.33,17,2015,328,4,2,1,197600
강변구,73.79,15,2020,834,3,1,1,128400
강변구,86.09,18,2014,735,3,1,2,140300
구도심구,72.6,17,2005,167,3,1,3,69200
신도심구,49.81,15,2019,398,2,1,1,77600
호수구,75.27,25,2023,793,3,1,3,101200
중앙구,113.13,22,2018,80,4,2,1,272700
구도심구,83.55,6,2021,242,3,1,3,88400
신도심구,59.17,24,2001,1023,3,1,3,82800
신도심구,82.22,6,2006,319,3,1,2,116200
호수구,133.45,3,2000,169,4,2,3,158300
호수구,115.53,13,2004,1184,4,2,3,141400
호수구,84.63,12,2016,319,3,1,3,95900
강변구,73.81,23,2014,1029,3,1,2,124800
강변구,84.14,21,1993,1777,3,1,1,100200
구도심구,101.7,2,2017,236,4,2,1,88900
강변구,101.93,15,1999,544,4,2,1,141600
구도심구,100.33,24,1998,740,4,2,2,78300
신도심구,85.84,22,2010,1169,3,1,1,100300
신도심구,60.58,15,2000,397,3,1,3,81400
구도심구,84.81,18,2023,60,3,1,1,92200
구도심구,57.99,17,1997,235,3,1,1,44600
중앙구,47.78,7,1997,462,2,1,1,77200
중앙구,83.61,17,2017,1027,3,1,1,157000
구도심구,84.07,20,2002,548,3,1,1,64400
신도심구,98.88,2,2015,982,4,2,2,122600
강변구,101.59,21,2014,449,4,2,1,173600
신도심구,102.54,8,1999,690,4,2,2,134300
구도심구,84.69,1,2011,1080,3,1,1,59700
구도심구,83.19,22,2010,1277,3,1,2,72500
신도심구,48.05,12,1996,2036,2,1,2,54500
신도심구,84.36,12,2017,759,3,1,1,107100
강변구,58.82,19,2020,101,3,1,1,114100
신도심구,49.53,17,2023,854,2,1,2,73300
강변구,59.72,18,1995,94,3,1,2,91500
신도심구,102.31,28,1998,926,4,2,1,115500
구도심구,82.64,19,2019,673,3,1,2,85200
중앙구,114.27,2,2002,1232,4,2,1,191300
중앙구,133.56,7,2013,447,4,2,1,257100
강변구,113.88,14,2004,696,4,2,1,180300
호수구,60.04,14,1999,864,3,1,2,61800
구도심구,102.17,11,2012,60,4,2,1,88100
강변구,102.68,6,1999,837,4,2,2,143200
호수구,101.51,4,1997,60,4,2,1,95600
신도심구,58.87,5,2009,337,3,1,1,68800
신도심구,58.7,28,1999,777,3,1,1,71100
호수구,111.92,12,1999,74,4,2,1,117800
중앙구,60.61,28,2017,956,3,1,2,133000
강변구,73.61,10,2009,902,3,1,2,127400
신도심구,84.61,10,2010,1196,3,1,1,111900
강변구,59.81,15,1997,129,3,1,1,81800
구도심구,47.51,28,1998,1998,2,1,1,32000
강변구,132.89,17,2005,198,4,2,3,237800
중앙구,102.86,2,2005,693,4,2,2,179400
강변구,114.35,8,2007,469,4,2,2,181400
신도심구,58.3,29,1997,559,3,1,1,64000
강변구,58.85,5,2021,1812,3,1,2,89900
중앙구,75.3,25,2004,227,3,1,2,152100
호수구,85.12,27,2019,1632,3,1,2,84300
강변구,47.24,7,2005,1052,2,1,1,55800
신도심구,102.96,17,2008,607,4,2,1,140700
중앙구,135.16,18,1996,602,4,2,1,216700
신도심구,83.82,24,2014,905,3,1,3,126900
강변구,72.57,24,1994,443,3,1,1,110000
구도심구,75.26,2,2016,513,3,1,2,61700
강변구,59.57,10,2021,690,3,1,3,98000
호수구,57.25,28,2004,1512,3,1,2,56600
호수구,83.72,11,2021,553,3,1,1,96500
중앙구,77.75,8,2015,113,3,1,1,155900
중앙구,84.02,19,1993,711,3,1,2,145400
중앙구,100.11,6,1999,578,4,2,3,186000
구도심구,57.79,5,2013,364,3,1,3,56600
중앙구,51.13,24,2015,793,2,1,1,108700
호수구,50.02,4,1995,374,2,1,3,53100
구도심구,60.69,26,2014,542,3,1,1,55400
구도심구,84.3,8,2018,692,3,1,2,84800
신도심구,102.5,4,1995,743,4,2,1,98900
호수구,99.98,22,2021,838,4,2,1,128800
중앙구,84.2,6,2010,922,3,1,2,159200
신도심구,74.34,11,2012,681,3,1,1,90300
강변구,60.66,11,1994,144,3,1,3,87400
호수구,74.38,15,2012,762,3,1,1,88800
신도심구,73.25,14,2007,1174,3,1,3,92600
구도심구,101.08,6,2004,109,4,2,1,86200
강변구,81.99,7,2017,145,3,1,1,146700
호수구,56.21,6,2000,325,3,1,1,55900
신도심구,60.0,2,1994,1126,3,1,2,56900
신도심구,58.55,19,2008,309,3,1,2,81400
호수구,113.69,14,2016,1136,4,2,1,114200
신도심구,50.0,4,1997,729,2,1,1,53400
신도심구,50.68,10,2024,388,2,1,1,70300
신도심구,59.64,20,2014,2500,3,1,2,72100
중앙구,103.31,9,2022,201,4,2,2,210900
강변구,84.6,12,2008,627,3,1,2,136700
강변구,84.36,22,1996,277,3,1,1,128600
중앙구,74.29,20,1998,788,3,1,1,134900
호수구,47.46,21,2009,289,2,1,1,48700
신도심구,102.15,12,2011,434,4,2,3,142900
신도심구,56.07,15,2016,338,3,1,2,89200
신도심구,48.3,25,2018,502,2,1,1,73100
신도심구,84.03,26,2017,1167,3,1,2,113500
구도심구,58.05,2,2011,174,3,1,2,48100
호수구,58.46,25,1993,314,3,1,1,56000
호수구,103.21,26,2009,449,4,2,1,100000
신도심구,85.32,28,2019,518,3,1,2,134300
강변구,58.18,8,2020,1447,3,1,2,102900
신도심구,73.44,15,2019,327,3,1,1,105400
신도심구,82.47,2,1993,1132,3,1,1,70900
신도심구,49.85,4,2006,1569,2,1,1,61800
구도심구,58.7,17,2012,544,3,1,2,56500
신도심구,81.64,6,2000,261,3,1,1,102200
강변구,84.12,7,2006,1326,3,1,1,106300
강변구,134.53,9,1996,1068,4,2,1,158100
신도심구,75.16,14,1999,238,3,1,3,102500
중앙구,48.91,5,1993,1731,2,1,1,73700
강변구,83.55,24,2024,353,3,1,1,141300
구도심구,86.38,20,2020,538,3,1,1,83600
신도심구,59.01,23,2005,950,3,1,2,67400
강변구,84.86,27,1993,1596,3,1,3,107400
신도심구,58.35,18,2003,756,3,1,3,76500
구도심구,101.83,11,2006,496,4,2,1,89300
강변구,99.25,29,1998,441,4,2,1,120700
구도심구,73.45,17,2014,495,3,1,1,74500
호수구,132.55,14,2024,2370,4,2,2,145700
신도심구,133.27,13,2020,831,4,2,2,215200
구도심구,60.5,2,2020,683,3,1,1,54700
중앙구,73.27,28,2019,1075,3,1,2,162400
호수구,84.86,24,1995,522,3,1,1,92700
신도심구,60.82,21,2010,1541,3,1,2,73600
호수구,73.97,7,2011,880,3,1,1,79200
신도심구,60.19,27,1996,486,3,1,1,65200
중앙구,114.64,6,1997,412,4,2,1,188300
중앙구,74.14,8,2011,126,3,1,1,150800
구도심구,84.9,3,2015,1165,3,1,1,77400
신도심구,76.21,9,1999,172,3,1,2,92600
중앙구,58.24,10,2008,1484,3,1,2,95400
구도심구,99.85,24,1995,307,4,2,2,81700
호수구,47.78,10,1996,340,2,1,1,43300
신도심구,50.19,28,2011,1999,2,1,3,62200
신도심구,75.36,9,2010,1106,3,1,3,107100
중앙구,83.36,16,2017,671,3,1,2,183300
구도심구,71.44,18,2022,1878,3,1,2,69600
강변구,48.19,25,1999,582,2,1,2,70100
호수구,74.66,22,2003,429,3,1,2,87600
신도심구,58.92,26,2020,717,3,1,1,85000
신도심구,49.22,28,1994,1219,2,1,2,53900
강변구,83.37,4,2019,211,3,1,1,130500
강변구,60.22,3,2023,334,3,1,2,93600
구도심구,59.41,14,1996,266,3,1,2,43400
신도심구,84.7,5,1997,229,3,1,3,107900
신도심구,84.19,15,2014,537,3,1,1,109400
호수구,59.63,18,2008,225,3,1,2,61400
호수구,74.55,9,2024,109,3,1,2,95100
호수구,57.89,3,2010,331,3,1,3,69700
강변구,114.45,28,2013,313,4,2,3,214700
신도심구,59.95,11,2000,845,3,1,1,69500
호수구,60.39,25,2003,1148,3,1,3,64700
신도심구,74.5,19,1998,375,3,1,3,93800
중앙구,57.84,20,1997,337,3,1,3,113300
구도심구,58.03,23,1996,1928,3,1,2,40900
신도심구,58.48,8,2021,1120,3,1,2,83200
신도심구,84.23,7,1995,781,3,1,1,98500
호수구,83.85,29,2009,475,3,1,1,98100
구도심구,82.65,20,2009,1103,3,1,1,68600
신도심구,99.64,9,1994,247,4,2,2,115100
신도심구,71.48,19,2019,1137,3,1,3,104800
신도심구,110.26,12,2009,874,4,2,2,125900
중앙구,83.84,25,1997,991,3,1,1,147000
구도심구,103.78,15,1997,676,4,2,2,79700
구도심구,86.16,10,2015,186,3,1,2,89100
강변구,72.83,21,2012,253,3,1,1,121200
강변구,59.18,22,2006,907,3,1,2,101000
호수구,72.24,11,2005,844,3,1,2,79800
중앙구,57.43,22,1994,407,3,1,2,105700
신도심구,82.56,7,1994,401,3,1,2,92100
신도심구,48.73,7,2010,1347,2,1,1,53600
구도심구,48.78,24,2004,614,2,1,1,41100
강변구,114.3,19,2001,317,4,2,2,153800
구도심구,84.8,2,2005,1491,3,1,3,62500
신도심구,83.6,20,2012,1401,3,1,1,96800
구도심구,74.04,9,2002,613,3,1,2,58300
중앙구,82.69,8,2004,708,3,1,2,157400
신도심구,112.39,13,2002,1123,4,2,1,135900
신도심구,82.2,14,2014,952,3,1,1,108400
강변구,84.78,26,1994,180,3,1,1,119700
중앙구,83.59,13,2022,1523,3,1,1,157500
강변구,71.75,9,2010,147,3,1,1,133600
강변구,83.92,23,2000,838,3,1,2,126200
중앙구,132.5,16,2017,218,4,2,2,278600
호수구,75.99,1,2023,951,3,1,2,91100
신도심구,73.31,19,1994,347,3,1,1,91800
구도심구,74.82,15,1999,366,3,1,1,57300
호수구,75.31,17,1997,1080,3,1,3,68900
중앙구,132.85,6,1995,218,4,2,3,216300
구도심구,84.09,14,2016,407,3,1,2,79400
호수구,74.66,19,1999,226,3,1,1,75700
구도심구,74.14,20,2005,671,3,1,3,60100
신도심구,74.43,20,2019,222,3,1,2,111700
신도심구,47.4,29,2012,789,2,1,1,62300
중앙구,84.66,15,2014,1389,3,1,1,161200
신도심구,100.42,13,1996,82,4,2,1,122900
호수구,84.42,16,2024,348,3,1,2,116200
호수구,60.1,10,1995,245,3,1,2,67600
중앙구,84.8,10,2015,183,3,1,1,184800
구도심구,84.42,21,2013,774,3,1,1,77000
강변구,59.77,10,2006,711,3,1,1,82800
호수구,84.83,22,2019,1517,3,1,2,93700
중앙구,85.79,22,2021,1003,3,1,2,165300
호수구,100.96,28,1995,638,4,2,1,96700
구도심구,59.2,4,2023,750,3,1,2,59700
중앙구,60.12,11,2000,406,3,1,3,121200
중앙구,83.41,23,2018,767,3,1,1,173100
구도심구,47.4,13,2019,149,2,1,2,52100
강변구,74.59,19,2010,551,3,1,1,127900
신도심구,100.75,22,2020,855,4,2,1,133200
호수구,57.55,26,2019,530,3,1,3,73100
신도심구,84.6,7,2009,359,3,1,3,120200
신도심구,135.72,8,1998,659,4,2,1,147400
신도심구,82.04,14,2006,316,3,1,1,105200
중앙구,85.23,15,2021,506,3,1,1,186000
호수구,80.96,27,1999,1070,3,1,2,80000
강변구,58.52,2,2024,1116,3,1,1,90100
강변구,61.21,8,1998,722,3,1,1,77600
강변구,83.61,27,2014,265,3,1,1,146300
호수구,74.11,18,2013,469,3,1,2,91900
중앙구,59.92,20,1999,668,3,1,3,105800
호수구,46.94,8,2008,345,2,1,1,46200
구도심구,101.09,19,1997,1789,4,2,2,80300
구도심구,49.08,11,2004,352,2,1,2,48400
호수구,86.23,22,2023,635,3,1,1,108700
구도심구,72.52,3,1994,1164,3,1,3,52800
호수구,83.54,9,2020,1605,3,1,2,101800
중앙구,57.89,19,2014,260,3,1,2,127700
구도심구,57.76,18,2016,154,3,1,2,57100
신도심구,85.35,25,2002,716,3,1,1,110900
신도심구,84.03,24,2023,1928,3,1,1,105200
호수구,58.33,1,2001,179,3,1,1,51600
호수구,73.38,3,2009,482,3,1,2,83300
구도심구,73.32,11,1994,761,3,1,3,58900
신도심구,58.43,28,2021,656,3,1,1,89200
신도심구,82.48,14,2015,846,3,1,1,121400
신도심구,58.69,26,1998,1458,3,1,1,57200
신도심구,83.57,2,2014,1179,3,1,3,107400
신도심구,58.09,28,1998,474,3,1,1,78400
중앙구,84.19,2,2007,176,3,1,3,150600
중앙구,74.29,24,2009,1239,3,1,1,127000
구도심구,83.33,26,2022,481,3,1,1,70000
신도심구,73.83,9,2003,650,3,1,1,89900
호수구,116.59,9,1993,1099,4,2,1,105700
구도심구,86.54,17,2006,1214,3,1,1,72800
중앙구,99.74,21,2022,1057,4,2,3,207400
강변구,57.9,4,2018,1725,3,1,2,89800
강변구,72.73,7,1994,600,3,1,1,96600
호수구,50.27,22,1994,370,2,1,2,50500
강변구,73.52,24,2017,287,3,1,1,117800
신도심구,84.29,5,2016,387,3,1,2,122000
호수구,103.4,26,2010,399,4,2,2,114800
호수구,83.99,26,1995,724,3,1,3,74800
강변구,84.85,26,2001,906,3,1,2,131500
중앙구,59.62,7,2020,253,3,1,1,125900
강변구,48.29,20,1997,1102,2,1,1,67100
중앙구,102.27,5,1999,1173,4,2,1,155300
강변구,57.98,6,2007,921,3,1,1,87900
신도심구,60.61,3,2016,432,3,1,1,88500
호수구,113.3,15,2019,1423,4,2,1,142400
신도심구,133.43,21,2011,592,4,2,3,206400
구도심구,82.69,6,2008,333,3,1,3,79600
강변구,72.89,6,2005,251,3,1,1,98800
구도심구,100.49,9,1994,682,4,2,3,79400
구도심구,56.08,6,2001,438,3,1,2,41900
호수구,73.72,25,1999,195,3,1,1,70700
호수구,73.39,5,1994,145,3,1,3,84400
강변구,114.95,9,2016,757,4,2,3,188400
중앙구,114.51,9,2004,169,4,2,2,181700
강변구,83.15,6,2009,60,3,1,2,143200
신도심구,58.45,28,1999,1185,3,1,1,63100
호수구,83.72,7,2011,279,3,1,2,102600
신도심구,60.78,15,1997,842,3,1,2,66600
구도심구,100.01,17,2014,672,4,2,2,92700
신도심구,58.14,8,2016,363,3,1,1,88000
강변구,47.65,14,2002,1529,2,1,2,60900
강변구,82.22,5,1999,935,3,1,2,113100
구도심구,84.37,15,2017,565,3,1,2,85300
구도심구,101.24,1,2000,301,4,2,1,70800
신도심구,50.54,13,1998,886,2,1,1,58700
강변구,102.25,11,2003,981,4,2,1,144800
구도심구,51.88,11,2023,629,2,1,2,55000
강변구,48.91,4,2007,576,2,1,1,81900
호수구,83.69,29,2001,934,3,1,3,106700
강변구,57.44,1,2009,555,3,1,2,87600
중앙구,84.84,5,2004,328,3,1,1,150200
신도심구,49.14,3,2014,181,2,1,2,71600
신도심구,49.78,29,2007,558,2,1,1,63500
신도심구,82.63,10,2011,175,3,1,1,99200
신도심구,59.42,13,2006,989,3,1,1,72700
호수구,84.25,22,2008,559,3,1,2,103300
신도심구,84.17,2,2007,1092,3,1,3,91300
신도심구,48.18,2,2005,709,2,1,1,50400
신도심구,85.43,6,2023,845,3,1,2,121100
중앙구,61.46,20,2001,353,3,1,1,113100
신도심구,72.67,29,2018,531,3,1,1,121900
강변구,59.86,18,2015,702,3,1,2,97300
구도심구,97.55,26,2009,646,4,2,2,89700
중앙구,84.8,26,2003,627,3,1,3,165400
호수구,81.76,9,2008,248,3,1,2,91100
신도심구,133.37,6,2020,112,4,2,1,191800
호수구,72.42,5,1998,233,3,1,1,67900
신도심구,113.74,24,2011,60,4,2,1,186500
중앙구,85.01,20,2017,129,3,1,3,204700
구도심구,111.77,26,2013,738,4,2,2,101900
구도심구,113.57,15,1997,482,4,2,1,96500
구도심구,133.38,29,2009,312,4,2,1,122100
신도심구,60.9,26,1998,475,3,1,1,72800
구도심구,101.52,24,2022,88,4,2,2,106000
호수구,99.59,24,2004,548,4,2,1,102700
구도심구,83.43,4,2006,193,3,1,3,69800
강변구,60.87,22,2020,1293,3,1,1,88000
구도심구,134.86,28,2006,871,4,2,2,120500
구도심구,57.9,9,1999,821,3,1,1,43500
호수구,83.68,24,2021,638,3,1,1,108300
신도심구,83.72,11,2013,922,3,1,1,102900
신도심구,58.35,7,2012,551,3,1,1,71100
구도심구,81.95,22,1995,305,3,1,3,73400
신도심구,58.19,5,2007,830,3,1,2,72700
구도심구,85.67,14,2007,1132,3,1,1,74400
신도심구,100.54,28,2001,261,4,2,2,131300
강변구,73.88,5,2011,147,3,1,2,138300
구도심구,84.17,5,2000,1828,3,1,2,64200
중앙구,61.66,28,2008,1401,3,1,1,111500
강변구,101.01,23,2018,594,4,2,1,182300
구도심구,115.31,14,2016,67,4,2,1,108200
구도심구,58.28,12,2001,705,3,1,3,44700
호수구,83.69,28,1999,2454,3,1,1,71900
강변구,84.02,21,1993,917,3,1,2,129300
중앙구,83.07,27,2004,866,3,1,3,134600
호수구,83.76,3,1993,563,3,1,1,77100
강변구,85.07,16,1997,813,3,1,1,103800
강변구,83.04,22,2024,914,3,1,1,145200
강변구,59.0,2,2020,664,3,1,2,96000
신도심구,74.85,15,2010,504,3,1,1,105600
호수구,100.01,2,2017,672,4,2,1,106700
구도심구,60.31,27,2008,650,3,1,1,57200
구도심구,84.09,20,2012,82,3,1,2,88000
강변구,58.8,6,2022,2160,3,1,2,90100
신도심구,98.59,16,1995,867,4,2,1,118400
신도심구,83.55,4,2004,1260,3,1,2,97100
중앙구,74.45,24,1996,722,3,1,1,118600
강변구,61.09,6,2018,395,3,1,1,94000
강변구,74.68,18,2019,1088,3,1,1,134800
중앙구,115.35,3,2016,139,4,2,2,234700
신도심구,82.55,5,2012,891,3,1,2,91200
구도심구,83.85,29,2008,1080,3,1,1,72600
중앙구,85.46,12,1993,555,3,1,1,132500
신도심구,72.93,4,2017,833,3,1,1,95200
구도심구,75.16,21,2021,84,3,1,1,74200
구도심구,74.88,6,2023,858,3,1,1,68900
구도심구,59.33,18,2003,454,3,1,1,59200
신도심구,83.61,24,1999,836,3,1,1,109000
구도심구,99.82,20,2013,573,4,2,1,95700
강변구,116.13,8,1993,568,4,2,1,153700
신도심구,101.76,7,1994,854,4,2,1,117700
강변구,84.41,7,2019,471,3,1,2,151700
신도심구,58.5,19,2023,553,3,1,1,92700
신도심구,84.05,20,2005,1879,3,1,2,103200
강변구,114.2,16,2009,1315,4,2,1,170400
구도심구,84.48,12,2010,504,3,1,1,79600
강변구,84.88,2,1997,582,3,1,1,102900
강변구,83.06,25,2000,373,3,1,1,122200
중앙구,99.24,20,2002,455,4,2,2,173500
신도심구,114.1,19,2019,472,4,2,1,156300
강변구,81.9,4,2007,641,3,1,1,99500
신도심구,73.61,9,2016,96,3,1,1,107000
강변구,58.39,9,1999,446,3,1,1,86500
구도심구,84.59,18,2023,391,3,1,3,100500
호수구,76.38,23,2021,1429,3,1,3,87500
신도심구,111.67,26,2008,577,4,2,1,150400
구도심구,86.73,16,2000,703,3,1,1,69000
호수구,83.72,11,2024,436,3,1,1,110400
호수구,74.42,12,2018,580,3,1,1,83900
구도심구,82.3,22,2009,455,3,1,1,71400
호수구,85.2,10,2001,648,3,1,1,75200
호수구,59.05,13,2012,832,3,1,1,61600
구도심구,100.93,23,2004,201,4,2,1,86500
신도심구,71.68,16,2014,912,3,1,1,97500
중앙구,74.09,14,2019,283,3,1,2,145400
중앙구,60.01,22,2008,1921,3,1,3,105700
신도심구,83.72,9,1994,638,3,1,1,93100
신도심구,85.41,2,2011,696,3,1,2,116900
신도심구,102.36,23,2020,716,4,2,1,138800
신도심구,48.23,14,2000,610,2,1,1,59800
신도심구,135.91,10,2023,346,4,2,2,204300
구도심구,84.05,3,2004,698,3,1,1,64500
중앙구,59.06,27,2014,671,3,1,3,119700
강변구,59.12,22,2015,314,3,1,3,101700
구도심구,59.08,8,1998,203,3,1,1,44800
구도심구,97.84,18,1994,1084,4,2,1,75800
호수구,58.78,14,2023,445,3,1,1,69900
호수구,82.36,10,2015,526,3,1,3,96300
호수구,85.95,10,2013,673,3,1,1,96900
강변구,102.9,3,2002,338,4,2,2,154300
신도심구,85.02,29,1996,739,3,1,1,96400
강변구,83.71,27,2001,545,3,1,2,129900
구도심구,57.79,26,2010,582,3,1,1,47700
호수구,100.21,10,2015,1224,4,2,2,105900
강변구,61.33,29,2003,656,3,1,2,101100
신도심구,58.17,8,1999,508,3,1,1,67300
강변구,131.17,24,2000,263,4,2,1,201400
강변구,60.24,3,2023,713,3,1,1,110500
강변구,60.8,10,2013,1055,3,1,2,103800
중앙구,85.99,17,2024,514,3,1,2,178000
호수구,75.25,29,1993,1049,3,1,1,66800
신도심구,60.44,8,2007,720,3,1,3,88100
구도심구,84.06,13,2007,620,3,1,1,74400
구도심구,81.51,25,2005,780,3,1,3,74800
강변구,101.03,14,2005,210,4,2,3,150600
강변구,59.75,20,1995,450,3,1,2,82400
구도심구,83.84,13,1994,463,3,1,3,69300
강변구,100.78,1,2017,531,4,2,1,138300
호수구,57.84,9,2007,1726,3,1,2,60800
중앙구,57.8,17,1998,635,3,1,1,97300
구도심구,51.21,1,2004,183,2,1,1,33800
구도심구,86.25,7,2022,374,3,1,2,84500
강변구,59.0,28,2007,582,3,1,3,97400
강변구,84.34,1,2024,654,3,1,3,146000
호수구,132.82,8,1998,60,4,2,2,149700
강변구,59.77,18,1996,826,3,1,3,91600
신도심구,86.11,17,2011,850,3,1,2,106900
신도심구,57.16,6,2014,254,3,1,2,73200
강변구,49.56,2,2024,1035,2,1,1,75500
구도심구,84.65,27,2007,512,3,1,1,74100
구도심구,74.63,16,1999,295,3,1,1,65000
신도심구,115.97,17,2010,239,4,2,2,185200
구도심구,86.44,2,2002,815,3,1,2,73200
강변구,58.72,7,1998,393,3,1,2,82600
중앙구,74.81,3,1995,702,3,1,3,135700
신도심구,59.1,29,2016,233,3,1,2,91600
호수구,100.24,23,2013,467,4,2,2,111500
중앙구,84.32,16,1998,779,3,1,2,128200
강변구,74.81,20,2010,1200,3,1,2,119100
신도심구,84.26,5,2021,1284,3,1,1,100600
구도심구,82.94,29,2019,1184,3,1,3,77800
중앙구,100.44,16,2007,2500,4,2,2,156700
신도심구,58.45,15,1994,709,3,1,2,69300
구도심구,47.99,28,2013,227,2,1,1,48900
신도심구,59.38,3,2009,380,3,1,1,76200
강변구,74.5,13,2022,1261,3,1,3,129600
강변구,85.18,3,2010,343,3,1,3,123100
신도심구,57.97,13,2016,60,3,1,3,93200
신도심구,73.31,8,2009,480,3,1,2,99500
호수구,75.87,14,2010,1021,3,1,2,81200
구도심구,58.8,21,2003,375,3,1,1,53600
구도심구,114.04,9,2005,1302,4,2,2,84900
